93.5788 	EXP 	grating: autoDraw = False
94.0479 	EXP 	New trial (rep=57, index=0): None
94.0501 	DATA 	Keypress: up
94.0645 	EXP 	fixation: autoDraw = False
94.0645 	EXP 	grating: autoDraw = False
94.0645 	EXP 	grating: ori = -2.0
94.0645 	EXP 	fixation: autoDraw = True
95.0473 	EXP 	grating: autoDraw = True
95.0609 	EXP 	fixation: autoDraw = False
95.3607 	EXP 	grating: autoDraw = False
95.5973 	EXP 	New trial (rep=58, index=0): None
95.5991 	DATA 	Keypress: down
95.6134 	EXP 	fixation: autoDraw = False
95.6134 	EXP 	grating: autoDraw = False
95.6134 	EXP 	grating: ori = -4.0
95.6134 	EXP 	fixation: autoDraw = True
96.5965 	EXP 	grating: autoDraw = True
96.6096 	EXP 	fixation: autoDraw = False
96.9094 	EXP 	grating: autoDraw = False
97.0625 	EXP 	New trial (rep=59, index=0): None
97.0639 	DATA 	Keypress: down
97.0790 	EXP 	fixation: autoDraw = False
97.0790 	EXP 	grating: autoDraw = False
97.0790 	EXP 	grating: ori = -3.0
97.0790 	EXP 	fixation: autoDraw = True
98.0617 	EXP 	grating: autoDraw = True
98.0749 	EXP 	fixation: autoDraw = False
98.3747 	EXP 	grating: autoDraw = False
98.5279 	EXP 	New trial (rep=60, index=0): None
98.5291 	DATA 	Keypress: down
98.5442 	EXP 	fixation: autoDraw = False
98.5442 	EXP 	grating: autoDraw = False
98.5442 	EXP 	grating: ori = 0.0
98.5442 	EXP 	fixation: autoDraw = True
99.5269 	EXP 	grating: autoDraw = True
99.5406 	EXP 	fixation: autoDraw = False
99.8405 	EXP 	grating: autoDraw = False
100.2442 	EXP 	New trial (rep=61, index=0): None
100.2460 	DATA 	Keypress: up
100.2593 	EXP 	fixation: autoDraw = False
100.2593 	EXP 	grating: autoDraw = False
100.2593 	EXP 	grating: ori = 3.0
100.2593 	EXP 	fixation: autoDraw = True
101.2560 	EXP 	fixation: autoDraw = False
101.2560 	EXP 	grating: autoDraw = True
101.5558 	EXP 	grating: autoDraw = False
101.9619 	EXP 	New trial (rep=62, index=0): None
101.9641 	DATA 	Keypress: down
101.9750 	EXP 	fixation: autoDraw = False
101.9750 	EXP 	grating: autoDraw = False
101.9750 	EXP 	grating: ori = -4.0
101.9750 	EXP 	fixation: autoDraw = True
